vin,year,make,model,trim,pricecategory,price,mileage,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,cartype,ReliabilityRank,CostOfLivingRank,CostOfLivingIndex,TransportationIndex,BrandPercentSales,BrandAvgDaysToTurn,CarClass,ReviewScore,AvgMPG
1C4RJFAG5HC756243,2017,JEEP,GRAND CHEROKEE,LAREDO 4WD,EXCELLENT PRICE,22777,24376,WESTBOROUGH,MA,RED,BLACK,1,1,PERSONAL,Y,SUV,26.0,47,129.7,111.9,5.534839958792396,74.23076923076923,AFFORDABLE MIDSIZE SUVS,8.1,22.5
1GKER33708J173131,2008,GMC,ACADIA,FWD 4DR SLT2,EXCELLENT PRICE,7599,142889,TEMPE,AZ,WHITE,GRAY,1,4,PERSONAL,Y,SUV,28.0,29,100.1,105.6,3.3940162460390058,72.07692307692308,AFFORDABLE MIDSIZE SUVS,7.4,23.5
2C4RDGCG6KR657813,2019,DODGE,GRAND CARAVAN,SXT,EXCELLENT PRICE,18400,37925,TACOMA,WA,WHITE,BLACK,0,1,PERSONAL,Y,VAN/MINIVAN,25.0,39,112.2,118.6,2.126715603110482,98.53846153846153,MINIVANS,6.8,21.0
5J6RE485X7L006178,2007,HONDA,CRV,EX 4WD,EXCELLENT PRICE,6995,137622,NEW BERN,NC,BLACK,BLACK,0,3,PERSONAL,Y,SUV,18.0,22,95.5,93.6,8.336902292535045,48.69230769230769,,,
2HGFC2F58HH531648,2017,HONDA,CIVIC,LX SEDAN CVT,GREAT PRICE,13850,49801,OLD BRIDGE,NJ,GRAY,GRAY,0,1,PERSONAL,Y,SEDAN,18.0,43,122.4,108.7,8.336902292535045,48.69230769230769,AFFORDABLE SMALL CARS,8.2,34.0
1G1ZE5ST4HF223821,2017,CHEVROLET,MALIBU,LT WITH 1LT,GREAT PRICE,16495,55639,MILWAUKEE,WI,WHITE,BLACK,0,1,PERSONAL,Y,SEDAN,9.0,24,95.7,96.9,11.692583720044867,78.23076923076923,AFFORDABLE MIDSIZE CARS,7.8,32.5
3N1AB7AP9KY307679,2019,NISSAN,SENTRA,S CVT,GREAT PRICE,12988,31676,CAMP VERDE,AZ,WHITE,BLACK,0,1,PERSONAL,Y,SEDAN,16.0,29,100.1,105.6,6.28802759768661,76.23076923076923,AFFORDABLE SMALL CARS,7.2,33.0
1GKLRKED5AJ130673,2010,GMC,ACADIA,FWD 4DR SL,EXCELLENT PRICE,8200,81684,TULSA,OK,SILVER,BLACK,0,2,PERSONAL,Y,SUV,28.0,3,86.7,93.0,3.3940162460390058,72.07692307692308,AFFORDABLE MIDSIZE SUVS,7.4,23.5
1C4NJPFB2HD184883,2017,JEEP,PATRIOT,LATITUDE FWD,EXCELLENT PRICE,11497,61992,SAN ANTONIO,TX,WHITE,GRAY,0,2,PERSONAL,N,SUV,26.0,14,91.7,91.1,5.534839958792396,74.23076923076923,,,
1HGCM72575A023152,2005,HONDA,ACCORD,LX SPECIAL EDITION COUPE AUTOMATIC,EXCELLENT PRICE,5489,137993,LYNNWOOD,WA,BLACK,BLACK,0,2,PERSONAL,Y,SEDAN,18.0,39,112.2,118.6,8.336902292535045,48.69230769230769,AFFORDABLE MIDSIZE CARS,8.1,34.0
JNKBV61F38M253395,2008,INFINITI,G,G35X SEDAN AWD AUTOMATIC,EXCELLENT PRICE,7999,140171,VIENNA,VA,WHITE,GRAY,0,4,PERSONAL,Y,SEDAN,24.0,31,101.4,93.8,0.6528082167930821,68.3076923076923,,,
3N1CN7AP1EL855421,2014,NISSAN,VERSA,1.6 S PLUS CVT,EXCELLENT PRICE,5400,71450,STERLING,VA,SILVER,BLACK,0,4,FLEET,Y,SEDAN,16.0,31,101.4,93.8,6.28802759768661,76.23076923076923,AFFORDABLE SMALL CARS,6.9,35.0
3FA6P0G72GR253104,2016,FORD,FUSION,S FWD,EXCELLENT PRICE,9714,79426,CHERRY HILL,NJ,BLUE,GRAY,0,1,PERSONAL,Y,SEDAN,10.0,43,122.4,108.7,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE CARS,8.2,26.0
JA4MT41X88Z003144,2008,MITSUBISHI,OUTLANDER,XLS AWD,NAN,6895,111359,SANFORD,NC,GOLD,BEIGE,0,2,PERSONAL,N,SUV,20.0,22,95.5,93.6,0.7338088088347337,93.76923076923077,AFFORDABLE COMPACT SUVS,6.3,27.5
3N1AB7AP5JY217976,2018,NISSAN,SENTRA,S CVT,EXCELLENT PRICE,10900,15292,NORCROSS,GA,WHITE,BLACK,0,1,PERSONAL,Y,SEDAN,16.0,10,90.0,96.4,6.28802759768661,76.23076923076923,AFFORDABLE SMALL CARS,7.2,33.0
1FMCU0GDXJUC49308,2018,FORD,ESCAPE,SE FWD,EXCELLENT PRICE,13990,39954,COSTA MESA,CA,UNKNOWN,UNKNOWN,0,1,PERSONAL,Y,SUV,10.0,49,142.7,133.0,13.832688602095642,71.61538461538461,AFFORDABLE COMPACT SUVS,8.3,25.0
1G1ZD5ST7KF151376,2019,CHEVROLET,MALIBU,LT WITH 1LT,GREAT PRICE,15451,32120,HENDERSON,NV,BLUE,GRAY,0,1,PERSONAL,Y,SEDAN,9.0,38,108.8,120.4,11.692583720044867,78.23076923076923,AFFORDABLE MIDSIZE CARS,7.8,32.5
5NMSH13E47H109294,2007,HYUNDAI,SANTA FE,LIMITED FWD AUTOMATIC (ALT),EXCELLENT PRICE,6200,123501,GASTONIA,NC,WHITE,BEIGE,0,2,PERSONAL,Y,SUV,13.0,22,95.5,93.6,4.156328806440607,79.07692307692308,AFFORDABLE MIDSIZE SUVS,8.5,25.5
WBSCK9336XLC88466,1999,BMW,Z3,M ROADSTER,EXCELLENT PRICE,12500,98982,PHOENIX,AZ,RED,BLACK,0,5,PERSONAL,Y,,8.0,29,100.1,105.6,1.7781767945930906,74.0,,,
5UXWX9C32H0W68988,2017,BMW,X3,XDRIVE28I AWD,EXCELLENT PRICE,27900,22003,TULSA,OK,WHITE,BLACK,0,1,PERSONAL,Y,SUV,8.0,3,86.7,93.0,1.7781767945930906,74.0,LUXURY COMPACT SUVS,8.6,26.5
1G1ZE5ST2HF118694,2017,CHEVROLET,MALIBU,LT WITH 1LT,EXCELLENT PRICE,11992,74756,RICHARDSON,TX,WHITE,BLACK,0,2,FLEET,N,SEDAN,9.0,14,91.7,91.1,11.692583720044867,78.23076923076923,AFFORDABLE MIDSIZE CARS,7.8,32.5
LYV402TK6HB140689,2017,VOLVO,S60,T5 INSCRIPTION AWD,EXCELLENT PRICE,19500,28020,SCOTTSDALE,AZ,BLACK,BLACK,0,2,PERSONAL,Y,SEDAN,29.0,29,100.1,105.6,0.6631075808160745,82.53846153846153,LUXURY SMALL CARS,7.7,30.0
3FA6P0LUXKR154826,2019,FORD,FUSION,HYBRID SE FWD,GREAT PRICE,17358,10611,NORTH RIVERSIDE,IL,GRAY,BLACK,0,1,PERSONAL,Y,SEDAN,10.0,9,89.7,104.8,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE CARS,8.2,26.0
1FADP3R45GL369956,2016,FORD,FOCUS,ELECTRIC HATCHBACK,EXCELLENT PRICE,10995,14547,ST. PAUL,MN,BLACK,GRAY,0,1,FLEET,Y,SEDAN,10.0,30,101.2,100.4,13.832688602095642,71.61538461538461,,,
4T1B11HK0KU689689,2019,TOYOTA,CAMRY,LE AUTOMATIC,EXCELLENT PRICE,18396,35474,TACOMA,WA,GRAY,BLACK,0,1,PERSONAL,Y,SEDAN,5.0,39,112.2,118.6,12.1872269830779,43.23076923076923,AFFORDABLE MIDSIZE CARS,8.7,35.0
5GAKVCKD3HJ117008,2017,BUICK,ENCLAVE,PREMIUM AWD,EXCELLENT PRICE,26999,18278,MEDFORD,NY,RED,BLACK,0,1,PERSONAL,Y,SUV,3.0,50,155.9,110.8,1.0989843197019002,82.92307692307692,AFFORDABLE MIDSIZE SUVS,7.9,22.0
1FAHP35N38W109104,2008,FORD,FOCUS,SE SEDAN,EXCELLENT PRICE,2968,178027,COUNCIL BLUFFS,IA,SILVER,UNKNOWN,1,4,PERSONAL,Y,SEDAN,10.0,13,91.4,97.6,13.832688602095642,71.61538461538461,,,
19XFB4F22FE001963,2015,HONDA,CIVIC,HYBRID SEDAN I4 CVT,EXCELLENT PRICE,9249,98197,SAN ANTONIO,TX,SILVER,UNKNOWN,0,1,PERSONAL,N,SEDAN,18.0,14,91.7,91.1,8.336902292535045,48.69230769230769,AFFORDABLE SMALL CARS,8.2,34.0
1HGCR2F12HA279764,2017,HONDA,ACCORD,SPORT SPECIAL EDITION SEDAN CVT,GREAT PRICE,19499,20352,LEAGUE CITY,TX,SILVER,BLACK,1,1,FLEET,N,SEDAN,18.0,14,91.7,91.1,8.336902292535045,48.69230769230769,AFFORDABLE MIDSIZE CARS,8.1,34.0
3FA6P0HD4HR187564,2017,FORD,FUSION,SE FWD,GREAT PRICE,15999,42816,LAS CRUCES,NM,SILVER,BLACK,0,1,FLEET,Y,SEDAN,10.0,4,87.2,91.7,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE CARS,8.2,26.0
58ABK1GG7HU064346,2017,LEXUS,ES,ES 350,GREAT PRICE,24750,22502,LARCHMONT,NY,RED,BLACK,0,1,PERSONAL,Y,SEDAN,2.0,50,155.9,110.8,1.6699578894174951,54.30769230769231,LUXURY MIDSIZE CARS,8.1,27.5
5LMJJ3JTXFEJ00736,2015,LINCOLN,NAVIGATOR,L 4WD,EXCELLENT PRICE,23999,68123,MEDFORD,NY,UNKNOWN,UNKNOWN,0,1,PERSONAL,Y,SUV,7.0,50,155.9,110.8,0.7127111277128115,76.53846153846153,LUXURY LARGE SUVS,7.9,19.5
4T1BE46K39U811769,2009,TOYOTA,CAMRY,LE I4 AUTOMATIC,EXCELLENT PRICE,3848,337149,MCMINNVILLE,TN,WHITE,BEIGE,1,2,PERSONAL,Y,SEDAN,5.0,11,90.0,87.9,12.1872269830779,43.23076923076923,AFFORDABLE MIDSIZE CARS,8.7,35.0
