yearmakemodel,price,milerange,location,hotcar,pricediff,timeonmkt,pricechange,trim,transmission,engine,drivetrain,VIN,fueltype,exteriorcol,interiorcol,condition,odometer,mpg,bodytype,heatedseats,leather,sunmoomroof,powerseat,premiumwheels
2016 Land Rover Range Rover Autobiography,$60995,55k Miles,Bronx NY,?,1%,197,-$4004,Autobiography,Automatic,5.0L V8 DOHC 32V SUPERCHARGED,AWD,SALGV2EF8GA251824,?,White,Red,Used,54712,?,Suv,True,True,True,True,True
2017 Chevrolet Equinox Premier,$20995,28k Miles,Douglaston NY,?,3%,28,-$1500,Premier,Automatic,2.4L 4-Cylinder SIDI DOHC VVT,AWD,2GNFLGEK1H6281935,?,Black,Jet black,Used,27941,?,Suv,True,True,True,True,True
2009 Lexus ES 350 Sedan,$9995,79k Miles,Jersey City NJ,?,29%,10,-$905,Sedan,Automatic,3.5L V6 DOHC Dual VVT-i 24V,FWD,JTHBJ46GX92306883,?,Tungsten Pearl(Silver),Black,Used,79212,?,Sedan,False,True,True,True,True
2017 Nissan Rogue SV,$16995,30k Miles,Bronx NY,?,6%,24,$0,SV,Automatic,2.5L I4 DOHC 16V,AWD,KNMAT2MV9HP568571,?,Magnetic Black,Charcoal,Used,30033,?,Suv,True,True,False,True,True
2020 Jeep Gladiator Rubicon,$61110,127 Miles,Flemington NJ,?,11%,412,+$3357,Rubicon,Automatic,Regular Unleaded V-6 3.6 L/220,4WD,1C6JJTBG3LL125730,?,Firecracker Red Clearcoat,Black,New,127,?,Pickup_truck,True,True,False,False,False
2012 Jeep Grand Cherokee Laredo,$9995,102k Miles,Bronx NY,Hot Car,29%,17,$0,Laredo,Automatic,3.6L V6 Flex Fuel 24V VVT,4WD,1C4RJFAGXCC289040,?,Mineral Gray Metallic Clearcoat,Black,Used,101690,?,Suv,False,False,True,False,True
2018 Land Rover Range Rover Velar P380 S,$42995,12k Miles,Roslyn Heights NY,Hot Car,22%,114,-$3504,P380 S,Automatic,3.0L V6 Supercharged,AWD,SALYB2RV0JA719485,?,Black,?,Used,12186,?,Suv,False,True,True,True,True
2017 Volkswagen Jetta 1.4T SE,$15995,36k Miles,Long Island City NY,?,13%,42,$0,1.4T SE,Automatic,1.4L TSI,FWD,3VWDB7AJ2HM307476,?,White,White,Used,35860,?,Sedan,True,True,True,False,False
2014 Chevrolet Camaro 1LS,$13883,75k Miles,Huntington NY,Hot Car,8%,68,-$112,1LS,Manual,3.6L V6 DGI DOHC VVT,RWD,2G1FE1E3XE9322607,?,Bl,Gray,Used,75298,?,Coupe,False,False,False,True,False
2018 Jeep Grand Cherokee Altitude V6 4WD SUV,$32995,18k Miles,Paramus NJ,?,3%,60,+$1001,Altitude V6 4WD SUV,Automatic,Regular Unleaded V-6 3.6 L/220,4WD,1C4RJFAG0JC122604,?,Granite Crystal Metallic Clearcoat,Black,Certified pre-owned,18479,?,Suv,True,True,False,False,False
2020 Nissan NV Cargo SL,$37844,3 Miles,New Rochelle NY,?,13%,19,$0,SL,Automatic,5.6L V8 DOHC 32V,RWD,1N6AF0LY8LN802935,?,Glacier White,Grey,New,3,?,Van,False,False,False,True,False
2020 Nissan Rogue Sport S,$27070,6 Miles,Butler NJ,?,20%,29,$0,S,Automatic,Regular Unleaded I-4 2.0 L/122,AWD,JN1BJ1CW0LW379212,?,Magnetic Black Pearl,Charcoal,New,6,?,Suv,False,False,False,False,False
2019 Infiniti Q50 3.0t LUXE,$23955,19k Miles,Wilton CT,?,12%,15,$0,3.0t LUXE,Automatic,3.0L V6,RWD,JN1EV7APXKM515565,?,Liquid Platinum,Graphite,Used,18845,?,Sedan,False,True,True,True,True
2020 Chevrolet Trax LT,$25695,2 Miles,Freeport NY,?,24%,69,+$5500,LT,Automatic,1.4L 4 cyls,AWD,KL7CJPSB4LB337911,?,Stone Gray Metallic,Jet Black,New,2,?,Suv,False,False,False,False,False
2017 Maserati Levante S,$46800,35k Miles,Somerville NJ,?,3%,49,-$3195,S,Automatic,Twin Turbo Premium Unleaded V-6 3.0 L/182,AWD,ZN661YUL5HX225798,?,Gray,Black,Used,35473,?,Suv,True,True,True,True,False
2018 Mercedes-Benz GLA GLA 250,$24995,27k Miles,Somerville NJ,?,3%,8,$0,GLA 250,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,AWD,WDCTG4GB1JJ371357,?,BLACK,BEIGE,Used,27172,?,Suv,True,True,True,True,False
2020 Jeep Cherokee Limited,$38246,0 Miles,Princeton NJ,?,16%,249,-$1029,Limited,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,4WD,1C4PJMDNXLD564468,?,Slate Blue Pearlcoat,Black,New,0,?,Suv,True,True,True,True,False
2020 Land Rover Range Rover Evoque SE,$46575,9k Miles,Smithtown NY,?,9%,15,-$1100,SE,Automatic,4 Cylinder,AWD,SALZP2FX3LH075034,Gasoline,Fuji White,Ebony,Used,8752,20 city / 27 hwy,Suv,False,False,False,False,False
2019 Chevrolet Malibu LT,$16675,24k Miles,Smithtown NY,?,1%,77,+$200,LT,Automatic,4 Cylinder,FWD,1G1ZD5ST9KF111266,Gasoline,Summit White,Jet Black,Used,24336,29 city / 36 hwy,Sedan,False,False,False,False,False
2014 Volkswagen Passat 2.0L TDI SE,$13980,24k Miles,Richmond Hill NY,?,2%,28,$0,2.0L TDI SE,Automatic,2.0L TDI Diesel Turbocharged,FWD,1VWBN7A33EC021892,Diesel,?,?,Used,23662,30 city / 40 hwy,Sedan,True,True,True,True,True
2020 Land Rover Range Rover Velar R-Dynamic S,$66455,16 Miles,Parsippany NJ,?,6%,103,$0,R-Dynamic S,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,AWD,SALYK2EX5LA275269,?,Firenze Red Metallic,Ebony,New,16,?,Suv,True,True,True,True,False
2018 Audi SQ5 Premium Plus,$36995,42k Miles,Somerville NJ,?,5%,25,-$4000,Premium Plus,Automatic,Intercooled Turbo Premium Unleaded V-6 3.0 L/183,AWD,WA1A4AFY1J2018650,?,Matador Red Metallic,Black,Used,41784,?,Suv,True,True,True,True,False
2019 Mercedes-Benz A-Class A 220,$26800,19k Miles,Somerville NJ,?,1%,62,-$1995,A 220,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,FWD,WDD3G4EB2KW015387,?,Black,BLACK,Used,19415,?,Sedan,False,True,True,True,False
2017 Porsche Macan AWD,$35495,24k Miles,Lakewood NJ,?,26%,42,+$1250,AWD,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,AWD,WP1AA2A54HLB07309,?,Black,Black Leather,Used,24184,?,Suv,False,True,False,True,False
2017 Mercedes-Benz GLC AMG GLC 43 4MATIC SUV,$31995,61k Miles,Roslyn Heights NY,?,21%,80,-$2000,AMG GLC 43 4MATIC SUV,Automatic,V6,AWD,WDC0G6EB5HF178515,?,White,?,Used,60521,?,Suv,True,True,False,True,False
2020 Ford EcoSport SE 4WD,$21489,8 Miles,Sayville NY,?,6%,105,-$2301,SE 4WD,Automatic,2.0L,AWD,MAJ6S3GL4LC347894,?,Moondust Silver Metallic,Ebony Black,New,8,?,Suv,True,True,True,True,False
2017 Ram Pickup 1500 Express Quad Cab 4X4,$28900,36k Miles,Amityville NY,?,6%,19,$0,Express Quad Cab 4X4,Automatic,5.7L,4WD,1C6RR7FT9HS612793,?,Brilliant Black Crystal Pearlcoat,Diesel Gray/Black,Used,36453,?,Pickup_truck,False,False,False,False,False
2016 Jeep Renegade Limited,$17995,35k Miles,Lakewood NJ,?,2%,21,$0,Limited,Automatic,Regular Unleaded I-4 2.4 L/144,4WD,ZACCJBDT4GPD54621,?,Black,Black,Used,35479,?,Suv,True,True,True,True,False
2020 Mazda CX-5 Sport,$27192,10 Miles,Wayne NJ,?,3%,188,$0,Sport,Automatic,Regular Unleaded I-4 2.5 L/152,AWD,JM3KFBBM2L0805884,?,Eternal Blue Mica,Black,New,10,?,Suv,False,True,False,False,True
2017 Toyota Sienna L,$24436,16k Miles,Wilton CT,Hot Car,16%,64,+$436,L,Automatic,3.5L V6 SMPI DOHC,?,5TDYZ3DC6HS815763,?,Silver Sky Metallic,Ash,Used,16078,?,Minivan,False,False,False,False,True
2020 Chevrolet Silverado 1500 Custom,$34233,0 Miles,Huntington NY,?,0%,8,$0,Custom,Automatic,V6 Cylinder Engine,4WD,1GCRYBEH0LZ334944,?,Black,Black,New,0,?,Pickup_truck,False,False,False,False,True
2017 Lexus NX 200t 200t,$26495,20k Miles,White Plains NY,?,13%,33,$0,200t,Automatic,2.0L 16V DOHC,?,JTJBARBZ0H2119783,?,Obsidian,Creme,Used,19649,?,Suv,False,True,False,True,False
2020 Ram ProMaster City Cargo Tradesman,$26715,0 Miles,Paramus NJ,?,8%,272,$0,Tradesman,Automatic,Regular Unleaded I-4 2.4 L/144,FWD,ZFBHRFAB1L6P15093,?,Bright White,Black,New,0,?,Van,False,False,False,False,False
2017 Infiniti Q50 3.0t Sport,$24990,29k Miles,Elmont NY,?,3%,13,$0,3.0t Sport,Automatic,Twin Turbo Premium Unleaded V-6 3.0 L/183,AWD,JN1EV7AR4HM833935,?,Graphite Shadow,Graphite,Used,29104,?,Sedan,True,True,True,True,False
2020 Chevrolet Equinox LT,$31999,0 Miles,Huntington NY,?,24%,6,$0,LT,Automatic,4 Cylinder Engine,4WD,3GNAXUEV0LS722942,?,Blue,Jet Blk Premium Clth,New,0,?,Suv,False,True,True,True,False
2017 Chevrolet Trax LS,$14995,33k Miles,Freeport NY,?,8%,18,$0,LS,Automatic,1.4L 4 cyls,AWD,KL7CJNSB0HB077261,?,Silver Ice Metallic,Jet Black W/cloth Seat Trim,Certified pre-owned,33136,?,Suv,False,False,False,False,False
2020 Nissan Rogue S,$26468,3 Miles,New Rochelle NY,?,20%,13,$0,S,Automatic,2.5L I4 DOHC 16V,AWD,5N1AT2MVXLC800624,?,Brilliant Silver Metallic,Charcoal,New,3,?,Suv,False,False,False,False,False
2019 Honda HR-V Sport,$22980,366 Miles,Richmond Hill NY,?,2%,149,+$2180,Sport,Automatic,1.8L I4 SOHC 16V i-VTEC,AWD,3CZRU6H16KM736933,Gasoline,?,?,Used,366,26 city / 31 hwy,Wagon,False,False,False,False,True
2020 Chevrolet Silverado 1500 LT,$43811,1 Miles,St James NY,?,8%,39,$0,LT,Automatic,EcoTec3 5.3L V8,4WD,1GCUYDED3LZ305117,?,Cajun Red Tintcoat,Black,New,1,?,Pickup_truck,False,True,False,True,True
2019 Jaguar F-PACE 25t,$31995,29k Miles,Somerville NJ,?,2%,18,$0,25t,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,AWD,SADCS2FX9KA601691,?,Black,Black,Used,28719,?,Suv,False,True,True,True,False
2017 Infiniti Q70L 3.7,$33495,25k Miles,Lakewood NJ,?,0%,38,$0,3.7,Automatic,Premium Unleaded V-6 3.7 L/226,RWD,JN1BY1PP1HM170532,?,Majestic White,Wheat,Used,25275,?,Sedan,True,True,True,True,True
