yearmakemodel,price,milerange,location,hotcar,pricediff,timeonmkt,pricechange,trim,transmission,engine,drivetrain,VIN,fueltype,exteriorcol,interiorcol,condition,odometer,mpg,bodytype,heatedseats,leather,sunmoomroof,powerseat,premiumwheels
2017 Nissan Versa 1.6 SV,$9899,43k Miles,Montclair CA,?,5%,43,$0,1.6 SV,Automatic,1.6L 4 Cylinders,FWD,3N1CN7AP1HL801802,Gasoline,WHITE,BLACK,Used,43011,31 city / 39 hwy,Sedan,False,False,False,False,False
2016 Nissan Versa 1.6 S,$7599,39k Miles,Montclair CA,Hot Car,22%,152,-$700,1.6 S,Automatic,1.6L 4 Cylinders,FWD,3N1CN7AP6GL829528,Gasoline,Gun Metallic,Charcoal,Used,39251,26 city / 35 hwy,Sedan,False,False,False,False,False
2016 Nissan JUKE SL,$10599,61k Miles,Montclair CA,Hot Car,22%,52,$0,SL,Automatic,1.6L 4 Cylinders,FWD,JN8AF5MR5GT605010,Gasoline,SILVER,BLACK,Used,61278,28 city / 32 hwy,Wagon,True,True,True,False,False
2017 Kia Niro LX,$16499,26k Miles,Montclair CA,?,8%,25,$0,LX,Automatic,1.6L 4 Cylinders,FWD,KNDCB3LC0H5083605,Hybrid,Metal Stream,Charcoal,Used,25505,51 city / 46 hwy,Wagon,False,False,False,False,False
2016 Nissan Altima 2.5 SV,$11699,45k Miles,Montclair CA,?,19%,213,-$1400,2.5 SV,Automatic,2.5L 4 Cylinders,FWD,1N4AL3AP9GC147022,Gasoline,Gun Metallic,Charcoal,Used,44712,27 city / 39 hwy,Sedan,False,True,False,False,False
2017 Toyota Corolla SE,$15099,31k Miles,Montclair CA,?,0%,46,$0,SE,Automatic,1.8L 4 Cylinders,FWD,2T1BURHE2HC944658,Gasoline,Galactic Aqua Mica,Black,Used,31073,28 city / 36 hwy,Sedan,False,False,False,False,False
2017 Toyota Camry LE,$12499,30k Miles,Montclair CA,?,25%,393,-$2000,LE,Automatic,2.5L 4 Cylinders,FWD,4T1BF1FK9HU635028,Gasoline,MAROON,BLACK,Used,29670,24 city / 33 hwy,Sedan,False,False,False,False,False
2020 Hyundai Elantra SEL,$15699,18k Miles,Montclair CA,?,10%,46,$0,SEL,Automatic,2.0L 4 Cylinders,FWD,5NPD84LF0LH507764,Gasoline,Symphony Silver,Gray,Used,18034,30 city / 40 hwy,Sedan,False,False,False,False,False
2018 Hyundai Elantra SEL,$13799,29k Miles,Montclair CA,?,2%,23,$0,SEL,Automatic,2.0L 4 Cylinders,FWD,5NPD84LFXJH306628,Gasoline,Symphony Silver,Gray,Used,29258,28 city / 37 hwy,Sedan,False,False,False,False,False
2017 Hyundai Sonata SE,$11799,41k Miles,Montclair CA,?,12%,172,-$800,SE,Automatic,2.4L 4 Cylinders,FWD,5NPE24AF5HH500499,Gasoline,Scarlet Red,Gray,Used,41208,25 city / 36 hwy,Sedan,False,False,False,False,False
2014 Toyota Prius Four,$12195,59k Miles,El Monte CA,?,16%,79,+$1596,Four,Automatic,1.8L 4 Cylinders,FWD,JTDKN3DU1E0376562,Hybrid,BLACK,Misty Gray,Used,58690,51 city / 48 hwy,Hatchback,False,False,False,False,False
2017 Buick Encore Preferred,$13499,26k Miles,Norco CA,?,16%,38,$0,Preferred,Automatic,1.4L 4 Cylinders,FWD,KL4CJASB7HB175869,Gasoline,Graphite Gray Metallic,Shale,Used,25955,25 city / 33 hwy,Suv,False,True,False,False,False
2013 Hyundai Genesis Coupe 2.0T Premium,$11399,75k Miles,Fontana CA,Hot Car,9%,136,-$600,2.0T Premium,Automatic,2.0L 4 Cylinders,RWD,KMHHT6KD1DU107582,Gasoline,White Satin Pearl,Black,Used,74948,17 city / 27 hwy,Coupe,False,False,False,False,False
2017 Kia Rio LX,$9599,67k Miles,El Monte CA,?,3%,31,$0,LX,Automatic,1.6L 4 Cylinders,FWD,KNADM4A36H6020717,Gasoline,Signal Red,Black,Used,67346,27 city / 36 hwy,Sedan,False,False,False,False,False
2017 Chevrolet Volt Premier,$18099,34k Miles,West Covina CA,?,13%,68,$0,Premier,Automatic,1.5L 4 Cylinders,FWD,1G1RD6S59HU208205,Plug-in hybrid,Silver Ice Metallic,Jet Black/Jet Black,Used,34426,43 city / 42 hwy,Hatchback,False,True,False,False,False
2018 Nissan Altima 2.5 S,$14099,43k Miles,West Covina CA,?,0%,64,$0,2.5 S,Automatic,2.5L 4 Cylinders,FWD,1N4AL3APXJC157663,Gasoline,Brilliant Silver,Charcoal,Used,43411,27 city / 38 hwy,Sedan,False,False,False,False,False
2017 Nissan LEAF S,$9499,28k Miles,West Covina CA,?,26%,130,-$500,S,Automatic,0 Cylinders,FWD,1N4BZ0CPXHC303889,Electric,Deep Blue Pearl,Black,Used,28040,124 city / 101 hwy,Hatchback,False,False,False,False,False
2017 Mercedes-Benz CLS AMG CLS 63 S,$63099,22k Miles,West Covina CA,Hot Car,13%,87,-$1000,AMG CLS 63 S,Automatic,5.5L 8 Cylinders,AWD,WDDLJ7GB1HA195189,Gasoline,WHITE,BLACK,Used,21529,16 city / 22 hwy,Sedan,False,True,False,False,False
2014 Volkswagen CC Sport PZEV,$12599,41k Miles,West Covina CA,?,7%,327,$0,Sport PZEV,Automatic,2.0L 4 Cylinders,FWD,WVWBP7AN5EE508790,Gasoline,Candy White,Black,Used,40928,22 city / 31 hwy,Sedan,True,True,False,False,False
2015 Jeep Grand Cherokee Laredo,$19099,29k Miles,West Covina CA,Hot Car,22%,330,+$500,Laredo,Automatic,3.6L 6 Cylinders,RWD,1C4RJEAG3FC218924,Gasoline,Billet Silver Metallic Clearcoat,Black,Used,28659,17 city / 25 hwy,Suv,False,False,False,False,False
2017 Honda Civic LX,$14599,35k Miles,West Covina CA,?,5%,52,$0,LX,Automatic,2.0L 4 Cylinders,FWD,2HGFC2F56HH530336,Gasoline,WHITE,BLACK,Used,35053,31 city / 40 hwy,Sedan,False,False,False,False,False
2017 Nissan Sentra SV,$10499,25k Miles,West Covina CA,?,20%,221,-$500,SV,Automatic,1.8L 4 Cylinders,FWD,3N1AB7AP2HY234650,Gasoline,Graphite Blue,Charcoal,Used,25263,29 city / 37 hwy,Sedan,False,False,False,False,False
2018 Nissan Sentra SR,$12599,29k Miles,West Covina CA,?,11%,330,+$200,SR,Automatic,1.8L 4 Cylinders,FWD,3N1AB7AP2JY237246,Gasoline,Super Black,Charcoal,Used,29331,29 city / 37 hwy,Sedan,False,True,False,False,False
2016 Mercedes-Benz GLE GLE 350,$23599,35k Miles,West Covina CA,Hot Car,28%,606,-$8900,GLE 350,Automatic,3.5L 6 Cylinders,RWD,4JGDA5JB5GA672812,Gasoline,Silver,Black,Used,35287,18 city / 24 hwy,Suv,False,False,True,False,False
2016 Mercedes-Benz C-Class C 300,$17599,74k Miles,West Covina CA,Hot Car,8%,26,$0,C 300,Automatic,2L 4 Cylinders,RWD,55SWF4JB0GU145050,Gasoline,Silver,Black,Used,74020,25 city / 34 hwy,Sedan,False,False,False,True,False
2017 Mazda CX-5 Grand Touring,$20099,45k Miles,West Covina CA,?,5%,11,$0,Grand Touring,Automatic,2.5L 4 Cylinders,FWD,JM3KFADL5H0120137,Gasoline,Deep Crystal Blue Mica,Black,Used,44872,24 city / 31 hwy,Suv,False,True,False,False,False
2017 Hyundai Accent SE,$10099,59k Miles,West Covina CA,?,0%,162,+$1199,SE,Automatic,1.6L 4 Cylinders,FWD,KMHCT4AE6HU300096,Gasoline,Triathlon Gray Metallic,Gray,Used,59053,26 city / 36 hwy,Sedan,False,False,False,False,False
2017 Chevrolet Cruze LT Auto,$12599,42k Miles,West Covina CA,?,5%,31,$0,LT Auto,Automatic,1.4L 4 Cylinders,FWD,1G1BE5SM0H7190966,Gasoline,Mosaic Black Metallic,Jet Black,Used,41887,30 city / 40 hwy,Sedan,False,False,False,True,False
2017 Chevrolet Bolt EV LT,$15399,54k Miles,West Covina CA,?,8%,10,-$800,LT,Automatic,0 Cylinders,FWD,1G1FW6S05H4136176,Electric,Kinetic Blue Metallic,Dark Galvanized/Sky Cool Gray,Used,53823,128 city / 110 hwy,Hatchback,False,False,False,False,False
2017 Chevrolet Volt LT,$13499,33k Miles,West Covina CA,?,22%,575,-$3000,LT,Automatic,1.5L 4 Cylinders,FWD,1G1RC6S59HU126378,Plug-in hybrid,Heather Gray Metallic,Light Ash/Dark Ash,Used,33113,43 city / 42 hwy,Hatchback,True,False,False,False,False
2018 Nissan Versa SV,$9399,44k Miles,West Covina CA,?,13%,253,-$500,SV,Automatic,1.6L 4 Cylinders,FWD,3N1CN7AP5JL816809,Gasoline,Brilliant Silver,Charcoal,Used,43915,31 city / 39 hwy,Sedan,False,False,False,False,False
2017 Honda CR-V EX,$20399,31k Miles,West Covina CA,?,10%,30,$0,EX,Automatic,1.5L 4 Cylinders,FWD,7FARW1H52HE014642,Gasoline,Lunar Silver Metallic,Black,Used,30906,28 city / 34 hwy,Suv,False,False,False,False,False
2015 Lexus ES 300h Base,$19999,41k Miles,West Covina CA,?,21%,25,$0,Base,Automatic,2.5L 4 Cylinders,FWD,JTHBW1GG7F2096043,Hybrid,Obsidian,Parchment,Used,40953,40 city / 39 hwy,Sedan,False,True,False,False,False
2017 Lexus CT 200h Base,$18099,31k Miles,West Covina CA,?,15%,37,$0,Base,Automatic,1.8L 4 Cylinders,FWD,JTHKD5BHXH2289769,Hybrid,Eminent White Pearl,Parchment,Used,31090,43 city / 40 hwy,Hatchback,False,False,True,False,False
2013 Scion xD Base,$9099,51k Miles,West Covina CA,?,10%,79,$0,Base,Automatic,1.8L 4 Cylinders,FWD,JTKKUPB44D1038569,Gasoline,Classic Silver Metallic,Dark Charcoal,Used,51246,27 city / 33 hwy,Hatchback,False,False,False,False,False
2017 Hyundai Elantra SE,$10699,28k Miles,West Covina CA,?,18%,347,-$2200,SE,Automatic,2.0L 4 Cylinders,FWD,KMHD84LF8HU137091,Gasoline,Electric Blue Metallic,Gray,Used,28057,29 city / 38 hwy,Sedan,False,False,False,False,False
2017 Cadillac Escalade Luxury,$45099,38k Miles,West Covina CA,?,9%,33,$0,Luxury,Automatic,6.2L 8 Cylinders,RWD,1GYS3BKJ7HR170133,Gasoline,Black Raven,Jet Black,Used,37861,15 city / 22 hwy,Suv,False,True,False,False,False
2018 Honda Accord Sport,$25099,20k Miles,West Covina CA,?,8%,17,$0,Sport,Automatic,1.5L 4 Cylinders,FWD,1HGCV1F34JA163009,Gasoline,Modern Steel Metallic,Black,Used,19983,29 city / 35 hwy,Sedan,False,False,False,False,False
2017 Honda Civic EX-T,$16299,35k Miles,West Covina CA,?,6%,58,$0,EX-T,Automatic,1.5L 4 Cylinders,FWD,2HGFC1F36HH642885,Gasoline,GRAY,GRAY,Used,35310,32 city / 42 hwy,Sedan,False,False,False,False,False
2017 Toyota RAV4 Limited,$19999,40k Miles,West Covina CA,?,14%,65,$0,Limited,Automatic,2.5L 4 Cylinders,AWD,2T3DFREV1HW561453,Gasoline,GRY,BLACK,Used,39559,22 city / 28 hwy,Suv,False,False,False,False,False
2017 Chevrolet Camaro LT,$17099,68k Miles,West Covina CA,Hot Car,2%,38,$0,LT,Automatic,2.0L 4 Cylinders,RWD,1G1FB1RX0H0133548,Gasoline,Mosaic Black Metallic,Jet Black,Used,67881,22 city / 31 hwy,Coupe,False,False,False,False,False
2017 Nissan Sentra SR,$12099,39k Miles,West Covina CA,?,9%,207,-$1300,SR,Automatic,1.8L 4 Cylinders,FWD,3N1AB7AP3HY211748,Gasoline,Aspen White,Charcoal,Used,39181,29 city / 37 hwy,Sedan,False,True,False,False,False
2016 Toyota Prius Two,$15099,53k Miles,West Covina CA,?,10%,33,-$2493,Two,Automatic,1.8L 4 Cylinders,FWD,JTDKBRFU6G3022594,Hybrid,GRAY,BLACK,Used,53312,54 city / 50 hwy,Hatchback,False,False,False,False,False
2017 Kia Optima Hybrid Premium,$15099,32k Miles,West Covina CA,?,6%,22,$0,Premium,Automatic,2.0L 4 Cylinders,FWD,KNAGT4LC6H5006349,Hybrid,Snow White Pearl,Black,Used,32119,39 city / 46 hwy,Sedan,False,False,False,False,False
2017 Dodge Challenger SRT 392,$36499,30k Miles,West Covina CA,?,0%,16,$0,SRT 392,Manual,6.4L 8 Cylinders,RWD,2C3CDZDJ2HH617078,Gasoline,Pitch Black Clearcoat,Ruby Red/Black,Used,30145,?,Coupe,False,False,False,False,False
2017 Honda Civic LX,$15799,33k Miles,West Covina CA,?,1%,52,-$1196,LX,Automatic,2.0L 4 Cylinders,FWD,2HGFC2F58HH522450,Gasoline,WHITE,Ivory,Used,32506,31 city / 40 hwy,Sedan,False,False,False,False,False
2015 Dodge Journey SXT,$10899,72k Miles,West Covina CA,?,14%,29,$0,SXT,Automatic,2.4L 4 Cylinders,FWD,3C4PDCBB1FT717926,Gasoline,White,Black,Used,72420,19 city / 26 hwy,Suv,False,False,False,False,False
2018 Chevrolet Equinox LS,$16599,21k Miles,West Covina CA,?,12%,15,$0,LS,Automatic,1.5L 4 Cylinders,FWD,3GNAXHEV4JS645738,Gasoline,Nightfall Gray Metallic,Medium Ash Gray,Used,21437,26 city / 32 hwy,Suv,False,False,False,False,False
2018 Nissan Sentra S,$10999,64k Miles,West Covina CA,?,0%,16,$0,S,Automatic,1.8L 4 Cylinders,FWD,3N1AB7AP1JY246889,Gasoline,Gun Metallic,Charcoal,Used,64084,29 city / 37 hwy,Sedan,False,False,False,False,True
2019 Infiniti QX60 Luxe,$30099,22k Miles,West Covina CA,?,8%,23,$0,Luxe,Automatic,3.5L 6 Cylinders,FWD,5N1DL0MN2KC533320,Gasoline,Black Obsidian,Graphite,Used,22496,20 city / 27 hwy,Suv,False,True,False,False,False
2017 Nissan Pathfinder SV,$18099,25k Miles,West Covina CA,?,18%,32,$0,SV,Automatic,3.5L 6 Cylinders,FWD,5N1DR2MN0HC645861,Gasoline,Magnetic Black Metallic,Charcoal,Used,25294,20 city / 27 hwy,Suv,False,False,False,False,False
2017 Kia Optima LX,$14599,22k Miles,West Covina CA,?,4%,18,$0,LX,Automatic,2.4L 4 Cylinders,FWD,5XXGT4L33HG157194,Gasoline,Platinum Graphite,Black,Used,22134,24 city / 34 hwy,Sedan,False,False,False,False,False
2017 Subaru Forester 2.5i,$18499,34k Miles,West Covina CA,?,1%,16,$0,2.5i,Automatic,2.5L 4 Cylinders,AWD,JF2SJABC2HH509864,Gasoline,Quartz Blue Pearl,Gray,Used,34356,26 city / 32 hwy,Wagon,False,False,False,False,False
2018 Infiniti QX30 Luxury,$19799,47k Miles,West Covina CA,?,11%,23,$0,Luxury,Automatic,2.0L 4 Cylinders,FWD,SJKCH5CP5JA056973,Gasoline,Black Obsidian,Graphite,Used,46850,24 city / 33 hwy,Wagon,False,True,False,False,False
2017 Cadillac XT5 Base,$21199,39k Miles,Downey CA,Hot Car,12%,29,$0,Base,Automatic,3.6L 6 Cylinders,FWD,1GYKNARSXHZ289779,Gasoline,Red Passion Tintcoat,Sahara Beige,Used,38748,19 city / 27 hwy,Suv,False,True,False,True,False
2017 Nissan Rogue SV,$16999,29k Miles,Downey CA,?,7%,18,$0,SV,Automatic,2.5L 4 Cylinders,AWD,5N1AT2MV9HC801982,Gasoline,Pearl White,Charcoal,Used,29212,25 city / 32 hwy,Wagon,False,False,False,False,False
2019 Honda Pilot EX-L,$32999,17k Miles,Downey CA,?,1%,31,$0,EX-L,Automatic,3.5L 6 Cylinders,AWD,5FNYF6H58KB032722,Gasoline,White Diamond Pearl,Black,Used,16516,18 city / 26 hwy,Suv,False,False,False,False,False
2017 Kia Optima EX,$14999,12k Miles,Downey CA,?,24%,25,$0,EX,Automatic,2.4L 4 Cylinders,FWD,5XXGU4L37HG131520,Gasoline,Sparkling Silver,Black,Used,12139,24 city / 34 hwy,Sedan,False,True,False,False,False
2017 Infiniti Q50 2.0T Premium,$20999,36k Miles,Downey CA,?,1%,52,$0,2.0T Premium,Automatic,2.0L 4 Cylinders,AWD,JN1CV7AR4HM680030,Gasoline,Black Obsidian,Graphite,Used,36167,22 city / 28 hwy,Sedan,False,True,False,False,False
2015 Honda Civic LX,$11999,43k Miles,Downey CA,?,8%,11,$0,LX,Automatic,1.8L 4 Cylinders,FWD,19XFB2F51FE700483,Gasoline,Gray,Black,Used,43083,30 city / 39 hwy,Sedan,False,False,False,False,False
2015 Dodge Dart SE,$6999,78k Miles,Downey CA,Hot Car,19%,87,$0,SE,Manual,2.0L 4 Cylinders,FWD,1C3CDFAA1FD415684,Flex fuel,Laser Blue Pearl Coat,Black,Used,77990,?,Sedan,False,False,False,False,False
2017 Chevrolet Volt LT,$13699,48k Miles,Downey CA,?,9%,311,-$800,LT,Automatic,1.5L 4 Cylinders,FWD,1G1RC6S59HU118992,Plug-in hybrid,Iridescent Pearl Tricoat,Jet Black/Jet Black,Used,47922,43 city / 42 hwy,Hatchback,False,True,False,False,False
2015 Volkswagen Jetta Hybrid SEL Premium,$12899,46k Miles,Downey CA,?,10%,311,-$2100,Hybrid SEL Premium,Automatic,1.4L 4 Cylinders,FWD,3VW637AJ0FM316132,Hybrid,Deep Black Pearl,TAN,Used,46367,42 city / 48 hwy,Sedan,True,False,False,False,False
2018 Chevrolet Cruze LT Auto,$12199,26k Miles,West Covina CA,?,13%,148,-$700,LT Auto,Automatic,1.4L 4 Cylinders,FWD,1G1BE5SM8J7223556,Gasoline,Pepperdust Metallic,Jet Black,Used,25680,29 city / 40 hwy,Sedan,False,False,False,True,False
2017 Honda Civic LX,$14199,29k Miles,West Covina CA,?,10%,157,-$2900,LX,Automatic,2.0L 4 Cylinders,FWD,2HGFC2F55HH549749,Gasoline,Taffeta White,Ivory,Used,28585,31 city / 40 hwy,Sedan,False,False,False,False,False
2019 Acura TLX w/Tech w/A-SPEC,$28999,14k Miles,West Covina CA,Hot Car,5%,35,$0,w/Tech w/A-SPEC,Automatic,2.4L 4 Cylinders,FWD,19UUB1F62KA005521,Gasoline,Crystal Black Pearl,Red,Used,14200,23 city / 32 hwy,Sedan,False,True,False,False,False
2017 Chevrolet Cruze LT Auto,$12799,26k Miles,West Covina CA,?,12%,29,$0,LT Auto,Automatic,1.4L 4 Cylinders,FWD,1G1BE5SM9H7263803,Gasoline,Tungsten Metallic,Jet Black,Used,25689,30 city / 40 hwy,Sedan,False,False,False,False,False
2018 Chevrolet Malibu LT,$14299,45k Miles,West Covina CA,?,1%,16,$0,LT,Automatic,1.5L 4 Cylinders,FWD,1G1ZD5ST5JF222167,Gasoline,Silver Ice Metallic,Jet Black,Used,45382,27 city / 36 hwy,Sedan,False,False,False,False,False
2017 Honda Accord EX-L V6,$22599,23k Miles,West Covina CA,?,0%,29,$0,EX-L V6,Automatic,3.5L 6 Cylinders,FWD,1HGCT2B85HA005219,Gasoline,Crystal Black Pearl,Black/Ivory,Used,22881,21 city / 32 hwy,Coupe,False,True,False,False,False
2016 Nissan Sentra SR,$9999,39k Miles,West Covina CA,?,23%,263,-$1800,SR,Automatic,1.8L 4 Cylinders,FWD,3N1AB7AP6GY248159,Gasoline,Super Black,Charcoal,Used,38937,29 city / 38 hwy,Sedan,True,True,False,False,False
2017 Nissan Sentra SV,$10799,28k Miles,West Covina CA,?,17%,67,$0,SV,Automatic,1.8L 4 Cylinders,FWD,3N1AB7APXHY291243,Gasoline,Graphite Blue,Charcoal,Used,27728,29 city / 37 hwy,Sedan,False,False,False,False,False
2018 Nissan Versa SV,$10999,44k Miles,West Covina CA,?,1%,16,$0,SV,Automatic,1.6L 4 Cylinders,FWD,3N1CN7APXJL859591,Gasoline,Cayenne Red,Charcoal,Used,44260,31 city / 39 hwy,Sedan,False,False,False,False,False
2017 Volkswagen Jetta 1.4T SE,$13599,39k Miles,West Covina CA,?,1%,18,+$99,1.4T SE,Automatic,1.4L 4 Cylinders,FWD,3VWDB7AJ6HM335927,Gasoline,White Silver Metallic,Titan Black,Used,38737,28 city / 38 hwy,Sedan,False,True,False,False,False
2014 Mitsubishi Lancer Evolution MR,$25099,67k Miles,West Covina CA,Hot Car,1%,59,$0,MR,Automatic,2.0L 4 Cylinders,AWD,JA32W5FV3EU025206,Gasoline,WHITE,Black,Used,67276,17 city / 22 hwy,Sedan,False,True,False,False,False
2018 Nissan Sentra S,$10399,35k Miles,Norco CA,?,13%,267,-$500,S,Automatic,1.8L 4 Cylinders,FWD,3N1AB7AP2JY210967,Gasoline,Deep Blue Pearl,Charcoal,Used,34762,29 city / 37 hwy,Sedan,False,False,False,False,False
2016 Nissan Sentra SV,$10099,39k Miles,El Monte CA,?,17%,25,$0,SV,Automatic,1.8L 4 Cylinders,FWD,3N1AB7AP8GY334606,Gasoline,Deep Blue Pearl,Charcoal,Used,39391,29 city / 38 hwy,Sedan,False,False,False,False,False
2018 Nissan Murano S,$18099,46k Miles,Norco CA,?,12%,25,$0,S,Automatic,3.5L 6 Cylinders,FWD,5N1AZ2MG8JN141248,Gasoline,Pearl White,Graphite,Used,45754,21 city / 28 hwy,Suv,False,False,False,False,False
2017 Nissan Pathfinder SV,$18099,47k Miles,Fontana CA,?,5%,31,$0,SV,Automatic,3.5L 6 Cylinders,4WD,5N1DR2MM2HC620578,Gasoline,Gun Metallic,Charcoal,Used,47444,19 city / 26 hwy,Suv,False,False,False,False,False
2020 Hyundai Elantra SEL,$15099,17k Miles,Fontana CA,?,14%,43,$0,SEL,Automatic,2.0L 4 Cylinders,FWD,5NPD84LF9LH505379,Gasoline,Scarlet Red Pearl,Gray,Used,16785,30 city / 40 hwy,Sedan,False,False,False,False,False
2017 Honda Fit LX,$12599,32k Miles,Fontana CA,?,8%,51,$0,LX,Automatic,1.5L 4 Cylinders,FWD,JHMGK5H56HS000878,Gasoline,Crystal Black Pearl,Black,Used,32282,33 city / 40 hwy,Hatchback,False,False,False,False,False
2014 Toyota Prius Four,$13099,70k Miles,El Monte CA,?,4%,25,$0,Four,Automatic,1.8L 4 Cylinders,FWD,JTDKN3DUXE1758969,Hybrid,Barcelona Red Metallic,Misty Gray,Used,70270,51 city / 48 hwy,Hatchback,False,True,False,False,False
2017 Toyota RAV4 XLE,$19399,34k Miles,Fontana CA,?,5%,52,$0,XLE,Automatic,2.5L 4 Cylinders,FWD,JTMWFREV2HJ714834,Gasoline,GREY,BLACK,Used,33720,23 city / 30 hwy,Suv,True,True,True,False,False
2016 Jeep Compass Sport,$9099,55k Miles,Fontana CA,Hot Car,31%,87,-$600,Sport,Automatic,2.0L 4 Cylinders,FWD,1C4NJCBA6GD675879,Gasoline,Deep Cherry Red Crystal Pearlcoat,Dark Slate Gray,Used,54813,?,Suv,False,False,False,False,False
2018 Ford Escape SEL,$17499,13k Miles,Fontana CA,?,22%,57,$0,SEL,Automatic,1.5L 4 Cylinders,FWD,1FMCU0HD2JUD05420,Gasoline,Magnetic Metallic,Cashmere,Used,13437,23 city / 30 hwy,Suv,False,False,False,False,False
2018 Honda Accord LX,$17799,9k Miles,Fontana CA,?,14%,45,+$200,LX,Automatic,1.5L 4 Cylinders,FWD,1HGCV1F1XJA194117,Gasoline,Obsidian Blue Pearl,Gray,Used,9389,30 city / 38 hwy,Sedan,False,False,False,False,False
2017 Toyota Camry XLE,$15099,41k Miles,Norco CA,?,11%,64,$0,XLE,Automatic,2.5L 4 Cylinders,FWD,4T1BF1FK8HU726534,Gasoline,Super White,Black,Used,40533,24 city / 33 hwy,Sedan,False,False,False,False,False
2017 Honda Odyssey SE,$19599,35k Miles,Fontana CA,?,18%,64,$0,SE,Automatic,3.5L 6 Cylinders,FWD,5FNRL5H3XHB020098,Gasoline,Modern Steel Metallic,Gray,Used,35381,19 city / 27 hwy,Van,False,False,False,False,False
2017 Honda Odyssey EX-L,$24099,28k Miles,Fontana CA,?,13%,51,$0,EX-L,Automatic,3.5L 6 Cylinders,FWD,5FNRL5H63HB027128,Gasoline,Modern Steel Metallic,Gray,Used,28395,19 city / 27 hwy,Van,True,False,True,False,False
2016 Mazda Mazda3 i Sport,$13099,17k Miles,Norco CA,?,8%,100,$0,i Sport,Automatic,2.0L 4 Cylinders,FWD,JM1BM1U74G1316578,Gasoline,Liquid Silver Metallic,Black,Used,17296,30 city / 41 hwy,Sedan,False,False,False,False,False
2016 Toyota Mirai Base,$11599,25k Miles,Norco CA,?,30%,578,-$7400,Base,Automatic,0 Cylinders,FWD,JTDBVRBD2GA000181,Hydrogen fuel cell,Nautical Blue Metallic,Blue Black,Used,24720,?,Sedan,False,True,False,False,False
2012 Toyota Prius One,$9599,102k Miles,El Monte CA,?,8%,214,-$500,One,Automatic,1.8L 4 Cylinders,FWD,JTDKN3DUXC5450142,Hybrid,SILVER,GRAY,Used,101702,51 city / 48 hwy,Hatchback,False,True,False,False,False
2018 Hyundai Elantra SE,$10599,23k Miles,Norco CA,?,24%,64,-$300,SE,Automatic,2.0L 4 Cylinders,FWD,KMHD74LF3JU578183,Gasoline,Galactic Gray,Gray,Used,22618,29 city / 38 hwy,Sedan,False,False,False,False,False
2014 Mercedes-Benz C-Class C 250 Sport,$16999,36k Miles,Fontana CA,Hot Car,0%,71,$0,C 250 Sport,Automatic,1.8L 4 Cylinders,RWD,WDDGF4HB0ER303069,Gasoline,Diamond White Metallic,Black,Used,36391,22 city / 31 hwy,Sedan,True,True,True,False,False
2018 Jeep Renegade Sport,$13899,28k Miles,Fontana CA,?,16%,330,-$2700,Sport,Automatic,2.4L 4 Cylinders,FWD,ZACCJAAB3JPG92976,Flex fuel,Alpine White,Black,Used,27692,22 city / 30 hwy,Suv,False,False,False,False,False
2017 Ford Explorer Base,$21499,26k Miles,Norco CA,?,7%,9,$0,Base,Automatic,3.5L 6 Cylinders,FWD,1FM5K7B84HGD04037,Gasoline,Oxford White,Medium Light Camel,Used,26016,17 city / 24 hwy,Suv,False,False,False,False,False
2017 Ford Explorer XLT,$19799,60k Miles,Norco CA,Hot Car,12%,51,$0,XLT,Automatic,3.5L 6 Cylinders,FWD,1FM5K7D80HGB46289,Gasoline,Oxford White,BEIGE,Used,59692,17 city / 24 hwy,Suv,False,False,False,False,False
2017 Ford F-150 Lariat,$48899,43k Miles,Fontana CA,?,36%,9,$0,Lariat,Automatic,3.5L 6 Cylinders,4WD,1FTEW1EG9HFB66977,Gasoline,Shadow Black,Black,Used,43118,17 city / 23 hwy,Pickup,False,False,False,False,False
2017 Honda Accord LX,$14799,13k Miles,Fontana CA,?,18%,366,-$2100,LX,Automatic,2.4L 4 Cylinders,FWD,1HGCR2F38HA140787,Gasoline,White Orchid Pearl,Tan,Used,13157,27 city / 36 hwy,Sedan,False,False,False,False,False
2017 Honda Accord Sport,$17099,40k Miles,Norco CA,?,5%,51,$0,Sport,Automatic,2.4L 4 Cylinders,FWD,1HGCR2F56HA189147,Gasoline,Crystal Black Pearl,BLACK,Used,40380,26 city / 34 hwy,Sedan,False,True,False,False,False
2017 Chrysler 300 S,$18799,53k Miles,Fontana CA,?,3%,51,$0,S,Automatic,3.6L 6 Cylinders,RWD,2C3CCABG0HH668753,Gasoline,Bright White Clearcoat,Black,Used,53138,19 city / 30 hwy,Sedan,True,True,True,False,False
2017 Dodge Grand Caravan SE,$11599,69k Miles,Fontana CA,?,16%,65,-$500,SE,Automatic,3.6L 6 Cylinders,FWD,2C4RDGBG5HR864252,Flex fuel,White Knuckle Clearcoat,Black/Light Graystone,Used,69498,17 city / 25 hwy,Van,False,False,False,False,False
2010 Ford Fusion Sport,$7599,66k Miles,Norco CA,Hot Car,36%,99,-$500,Sport,Automatic,3.5L 6 Cylinders,FWD,3FAHP0KC3AR248143,Gasoline,Brilliant Silver Metallic,Charcoal Black,Used,65935,18 city / 27 hwy,Sedan,False,True,False,False,False
