year,make,model,trim,odometer,state,colorexterior,colorinterior,accidenthist,owner,usage,price
2017,HYUNDAI,ELANTRA,SE 2.0L SEDAN AUTOMATIC (ALT),115844,FL,WHITE,GRAY,N,2,PERSONAL,5500
2019,FORD,FUSION,HYBRID SE FWD,32777,TX,GRAY,GRAY,N,1,PERSONAL,13995
2013,HYUNDAI,ELANTRA,GLS SEDAN AUTOMATIC,79672,TN,SILVER,GRAY,Y,2,PERSONAL,6999
2017,HONDA,HRV,LX AWD CVT,46619,WA,BLACK,BLACK,Y,1,PERSONAL,11500
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,4856,FL,BLACK,BLACK,N,1,PERSONAL,13752
2019,NISSAN,SENTRA,SV CVT,35620,CA,BLACK,BLACK,N,1,PERSONAL,13030
2019,NISSAN,ROGUE,SV FWD,26788,CA,WHITE,BLACK,N,1,PERSONAL,15885
2015,CHEVROLET,SILVERADO 1500,WT REGULAR CAB LONG BOX 4WD,57179,VA,WHITE,GRAY,N,1,PERSONAL,11999
2019,KIA,SOUL,#NAME?,22788,PA,WHITE,BLACK,N,1,PERSONAL,14995
2015,MAZDA,MAZDA5,SPORT,83277,TX,SILVER,BLACK,N,2,FLEET,7495
2020,CHEVROLET,MALIBU,LT,10307,TX,GRAY,BLACK,N,1,PERSONAL,18888
2019,DODGE,GRAND CARAVAN,SXT,34200,FL,SILVER,BLACK,N,1,PERSONAL,16698
2018,NISSAN,SENTRA,S CVT,38717,CA,WHITE,BLACK,N,1,PERSONAL,10988
2013,NISSAN,SENTRA,SV CVT,108798,OK,BLACK,BLACK,N,2,PERSONAL,4993
2020,CHEVROLET,EQUINOX,LT WITH 1LT AWD,15493,FL,WHITE,BLACK,N,1,PERSONAL,18994
2019,CHRYSLER,300,LIMITED RWD,31455,CA,WHITE,BLACK,N,1,FLEET,19411
2019,DODGE,GRAND CARAVAN,SXT,69586,NM,BLACK,BLACK,N,1,PERSONAL,14735
2020,KIA,OPTIMA,LX AUTOMATIC,30488,FL,WHITE,BLACK,N,1,PERSONAL,14998
2019,DODGE,GRAND CARAVAN,SXT,51536,FL,SILVER,BLACK,N,1,PERSONAL,15945
2019,NISSAN,ROGUE,SV FWD,30404,CA,BLACK,BLACK,N,1,PERSONAL,17600
2019,DODGE,GRAND CARAVAN,SXT,42607,CA,GRAY,BLACK,N,1,PERSONAL,17014
2019,NISSAN,ROGUE,SV FWD,25186,CA,WHITE,BLACK,N,1,PERSONAL,15998
2011,FORD,FUSION,SPORT AWD,120957,OK,BLACK,UNKNOWN,N,2,FLEET,5000
2020,TOYOTA,COROLLA,LE CVT,11769,TX,SILVER,BLACK,N,1,PERSONAL,14800
2020,TOYOTA,COROLLA,LE CVT,11796,TX,SILVER,BLACK,N,1,PERSONAL,14800
2019,JEEP,WRANGLER,UNLIMITED SPORT S,15083,DE,BLACK,BLACK,N,1,PERSONAL,34888
2019,KIA,SOUL,#NAME?,31189,TX,GRAY,BLACK,N,1,PERSONAL,12990
2019,CHRYSLER,300,LIMITED RWD,25030,FL,GRAY,BLACK,N,1,PERSONAL,20898
2017,HYUNDAI,ELANTRA,SE 2.0L SEDAN AUTOMATIC (ULSAN),28807,VA,SILVER,UNKNOWN,N,1,PERSONAL,11895
2019,KIA,OPTIMA,LX,35768,OH,GRAY,BLACK,N,2,PERSONAL,13447
2019,CHRYSLER,300,LIMITED RWD,27373,CA,WHITE,BLACK,N,1,PERSONAL,19737
2019,NISSAN,ROGUE,SV FWD,44611,CA,WHITE,BLACK,N,1,PERSONAL,16750
2019,NISSAN,SENTRA,SV CVT,33173,CA,BLACK,BLACK,N,1,PERSONAL,13150
2019,KIA,OPTIMA,LX,32072,CA,WHITE,BLACK,N,1,PERSONAL,13799
2014,FORD,FOCUS,SE SEDAN,124125,NC,BLUE,BLACK,N,1,PERSONAL,4800
2019,FORD,FUSION,HYBRID SE FWD,18668,AL,WHITE,UNKNOWN,Y,1,PERSONAL,15349
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,34212,TN,WHITE,BEIGE,N,1,PERSONAL,13391
2020,TOYOTA,COROLLA,LE CVT,7209,TX,SILVER,BLACK,N,1,PERSONAL,15500
2007,HONDA,CIVIC,LX SEDAN AUTOMATIC,127350,CA,SILVER,GRAY,N,4,FLEET,4699
2015,CHEVROLET,SILVERADO 1500,WT REGULAR CAB LONG BOX 2WD,117765,FL,WHITE,GRAY,N,1,FLEET,9995
2019,NISSAN,VERSA,SV SEDAN CVT,17400,WA,RED,BLACK,N,1,PERSONAL,9995
2017,MERCEDES-BENZ,CCLASS,C 300 SEDAN RWD,26917,CA,WHITE,BLACK,N,1,PERSONAL,21500
2019,DODGE,GRAND CARAVAN,SXT,38540,AL,GRAY,BLACK,N,2,PERSONAL,16800
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,41477,AR,BLACK,GRAY,Y,2,FLEET,15487
2013,HONDA,CIVIC,LX SEDAN AUTOMATIC,79224,NV,GRAY,BLACK,N,1,PERSONAL,9000
2019,NISSAN,SENTRA,SV CVT,26445,FL,WHITE,BLACK,N,1,PERSONAL,11188
2019,KIA,SOUL,#NAME?,31933,TX,BLACK,BLACK,N,1,PERSONAL,12007
2017,HYUNDAI,ELANTRA,GT HATCHBACK AUTOMATIC,56289,CA,SILVER,BLACK,N,1,PERSONAL,9250
2019,NISSAN,ROGUE,SV FWD,39566,CA,GRAY,BLACK,N,1,FLEET,14764
2020,CHEVROLET,MALIBU,LT,16001,TX,WHITE,BLACK,N,1,PERSONAL,18897
2019,FORD,FUSION,TITANIUM AWD,45609,TX,BLACK,BLACK,N,1,PERSONAL,17473
