Year,Make,Model,Category
2019,ACURA,RLX,SEDAN
2019,AUDI,S3,SEDAN
2019,AUDI,S4,SEDAN
2019,BMW,3 SERIES,SEDAN
2019,AUDI,SQ5,SUV
2019,BMW,5 SERIES,SEDAN
2019,BMW,M5,SEDAN
2019,BMW,I8,COUPE
2019,BMW,8 SERIES,COUPE
2019,BMW,M6,COUPE
2019,BMW,I3,HATCHBACK
2019,BMW,7 SERIES,SEDAN
2019,BMW,X3,SUV
2019,BMW,6 SERIES,SEDAN
2019,BMW,M4,COUPE
2019,AUDI,TT,COUPE
2019,CADILLAC,ESCALADE,SUV
2019,BUICK,REGAL SPORTBACK,SEDAN
2019,BMW,X6 M,SUV
2019,BMW,X2,SUV
2019,CADILLAC,CTSV,SEDAN
2019,BMW,X1,SUV
2019,BMW,X6,SUV
2019,BMW,X4,SUV
2019,CHEVROLET,CAMARO,COUPE
2019,CADILLAC,ESCALADE ESV,SUV
2019,CHEVROLET,BLAZER,SUV
2019,CADILLAC,CT6,SEDAN
2019,BMW,X5,SUV
2019,BUICK,REGAL TOURX,WAGON
2019,CHEVROLET,COLORADO CREW CAB,PICKUP
2019,CHEVROLET,BOLT EV,HATCHBACK
2019,CADILLAC,CT6V,SEDAN
2019,BMW,M2,COUPE
2019,BMW,X7,SUV
2019,BUICK,ENVISION,SUV
2019,BUICK,CASCADA,CONVERTIBLE
2019,CADILLAC,XT5,SUV
2019,CADILLAC,XT4,SUV
2019,BUICK,ENCORE,SUV
2019,BUICK,ENCLAVE,SUV
2019,CADILLAC,CTS,SEDAN
2019,CHEVROLET,CRUZE,SEDAN
2019,CHEVROLET,EQUINOX,SUV
2019,CHEVROLET,CORVETTE,COUPE
2019,BMW,Z4,CONVERTIBLE
2019,CADILLAC,XTS,SEDAN
2019,BUICK,LACROSSE,SEDAN
2019,CADILLAC,ATSV,COUPE
2019,CADILLAC,ATS,COUPE
2019,CHEVROLET,EXPRESS 2500 CARGO,VAN/MINIVAN
2019,CHEVROLET,COLORADO EXTENDED CAB,PICKUP
