vin|year|make|model|trim|pricecategory|pricevariance|price|mileage|city|state|colorexterior|colorinterior|accidenthist|owner|usage
1HGCR2F15HA186978|2017|Honda|Accord|Sport Special Edition Sedan CVT|Excellent Price|$987 off avg. list price|20908|33370|Ventura|CA|White|Black|no| 1| personal
19XFC2F53HE015529|2017|Honda|Civic|LX Sedan CVT|Excellent Price|$859 off avg. list price|14591|28929|Jacksonville|FL|Silver|Unknown|no| 2| personal
1G4HP54K91U205829|2001|Buick|LeSabre|Custom|||2788|187143|Vancouver|OR|Gray|Gray|1| 7| personal
1FATP8UH0K5162472|2019|Ford|Mustang|EcoBoost Premium Convertible|Excellent Price|$3539 off avg. list price|24990|10902|Kaneohe|HI|Silver|Unknown|no| 1| fleet
2C4RDGCG9KR546334|2019|Dodge|Grand Caravan|SXT|Great Price|$553 off avg. list price|17383|43156|Waynesville|MO|Black|Black|no| 1| personal
2HKRM4H7XFH667111|2015|Honda|CR-V|EX-L AWD|||13900|29220|PORTLAND|OR|Black|Black|no| 1| personal
1GCSCREA0AZ278156|2010|Chevrolet|Silverado 1500|LS Extended Cab Standard Box 2WD|Excellent Price|$1272 off avg. list price|6000|167323|Coolidge|AZ|White|Gray|1| 3| personal
1GYFK63837R170913|2007|Cadillac|Escalade|AWD|||10999|112627|Tucson|AZ|Black|Unknown|1| 5| personal
JS2YB413X85110782|2008|Suzuki|SX4|5dr HB Auto|||1995|226284|Middlesboro|KY|Black|Black|1| 2| personal
JTHBK1GG7E2096828|2014|Lexus|ES|ES 350|Excellent Price|$1800 off avg. list price|15780|61092|Oklahoma City|OK|Black|Unknown|no| 2| fleet
3N1AB7AP5KY228011|2019|Nissan|Sentra|S CVT|Excellent Price|$772 off avg. list price|11200|35298|Fontana|CA|Silver|Black|no| 1| personal
3KPF24AD6KE040980|2019|Kia|Forte|LXS IVT|Excellent Price|$1136 off avg. list price|11571|40638|Fontana|CA|White|Black|no| 1| personal
1N4BL4CV6KC184771|2019|Nissan|Altima|SR FWD|Excellent Price|$918 off avg. list price|16995|35790|Chandler|AZ|White|Black|no|| personal
4T1B11HK8KU740470|2019|Toyota|Camry|LE Automatic|Great Price|$591 off avg. list price|17500|39793|Fallston|MD|Gray|Black|no| 1| personal
3FA6P0LU2KR263085|2019|Ford|Fusion|Hybrid SE FWD|Great Price||14495|47359|Arlington|TX|Black|Unknown|no| 1| personal
1FMCU0GD5HUE17219|2017|Ford|Escape|SE FWD|Excellent Price|$1351 off avg. list price|10467|84217|Little Rock|AR|Black|Black|no| 1| personal
2C4RC1BGXER249613|2014|Chrysler|Town & Country|Touring|Excellent Price|$1037 off avg. list price|8995|90830|Ft Myers|FL|White|Beige|no| 2| personal
1C4HJXDN5KW549322|2019|Jeep|Wrangler|Unlimited Sport S|Excellent Price|$1931 off avg. list price|34888|15083|Newark|DE|Black|Black|no| 1| personal
1G1ZD5ST0LF077493|2020|Chevrolet|Malibu|LT|Excellent Price|$815 off avg. list price|19597|10808|Nashville|TN|White|Black|no| 1| personal
1C3CCCBB3FN716895|2015|Chrysler|200|S FWD|||5999|151679|Murfreesboro|TN|Red|Black|no| 3| fleet
3N1AB7AP7HY309004|2017|Nissan|Sentra|SV CVT|Excellent Price|$741 off avg. list price|9500|63462|Winchester|VA|Gray|Black|no| 2| personal
JM3ER2BM4C0421108|2012|Mazda|CX-7|i Sport FWD|Excellent Price|$1607 off avg. list price|6950|79199|Edmonds|WA|Black|Black|no| 1| personal
3N1CN7AP7GL870153|2016|Nissan|Versa|1.6 SV CVT|Excellent Price|$1077 off avg. list price|5880|89864|Orem|UT|Black|Black|no| 2| personal
3N6CM0KN0JK696649|2018|Nissan|NV200 Compact Cargo|SV|||11451|86424|Ocala|FL|White|Gray|2| 1| personal
3GYFK62818G229511|2008|Cadillac|Escalade EXT|AWD|Excellent Price||12991|125457|Rockwall|TX|Black|Brown|1| 1| personal
