colorexterior,colorinterior,accidenthist,owner,usage,price,age,odo,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,bodytype,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain
BLACK,BLACK,Y,1,FLEET,10.994,1,15.952,16.0,15,6.28802759768661,76.23076923076923,SEDAN,6.9,35.0,N,FWD
GRAY,BLACK,N,1,PERSONAL,13.197,1,32.501,14.0,27,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
SILVER,OTHER,N,1,PERSONAL,32.995,1,11.481,5.0,46,12.1872269830779,43.23076923076923,SUV,7.5,19.0,N,AWD
GRAY,BLACK,N,1,FLEET,16.995,1,33.014,16.0,23,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
BLUE,BLACK,N,2,PERSONAL,13.599,3,29.319,13.0,20,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,16.897,1,30.127,16.0,11,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
SILVER,BLACK,Y,1,PERSONAL,11.321,1,32.729,13.0,27,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
GRAY,GRAY,N,2,PERSONAL,9.995,7,87.7,18.0,52,8.336902292535045,48.69230769230769,SEDAN,8.2,34.0,N,FWD
SILVER,BLACK,N,1,PERSONAL,16.995,1,38.817,16.0,14,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
GRAY,BLACK,N,1,PERSONAL,16.954,1,23.724,16.0,10,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
RED,BLACK,N,1,PERSONAL,8.598,1,25.648,10.0,27,13.832688602095642,71.61538461538461,SEDAN,7.9,31.0,N,FWD
BLACK,BLACK,N,1,FLEET,17.9,1,18.592,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,24.981,1,11.0,31.0,3,0.6898618253052382,94.76923076923077,SEDAN,8.0,20.5,N,AWD
BLACK,BLACK,N,1,FLEET,14.8,1,24.707,14.0,14,3.9890632445645786,73.38461538461539,SEDAN,8.4,28.5,N,FWD
WHITE,BEIGE,N,2,PERSONAL,7.991,5,82.253,16.0,27,6.28802759768661,76.23076923076923,SEDAN,7.7,33.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,15.75,1,26.506,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
