vin,make,model,pricecategory,price,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,bodytype,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain,age,odo
1FMCU0HX6DUB80579,FORD,ESCAPE,EXCELLENT PRICE,7900.0,MURFREESBORO,TN,BLACK,UNKNOWN,N,1,PERSONAL,Y,SUV,10.0,11,13.832688602095642,71.61538461538461,8.3,25.0,N,FWD,7.0,130.515
2HKRM4H7XFH667111,HONDA,CRV,NOT LISTED,13900.0,PORTLAND,OR,BLACK,BLACK,N,1,PERSONAL,N,SUV,18.0,48,8.336902292535045,48.69230769230769,8.5,29.0,N,AWD,5.0,29.22
JF1GV7E66EG002555,SUBARU,IMPREZA WRX,EXCELLENT PRICE,17000.0,MONTEREY PARK,CA,BLACK,BLACK,N,1,PERSONAL,Y,SEDAN,23.0,49,4.128452974634556,39.113463666989205,7.7,33.0,N,FWD,6.0,51.486
5NPD84LF7KH479539,HYUNDAI,ELANTRA,FAIR PRICE,16190.0,OLIVE BRANCH,MS,SILVER,GRAY,N,1,PERSONAL,Y,SEDAN,13.0,1,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,1.0,19.988
1VWCN7A37EC030521,VOLKSWAGEN,PASSAT,GREAT PRICE,13246.0,COUNTRYSIDE,IL,WHITE,UNKNOWN,N,1,PERSONAL,Y,SEDAN,6.0,9,2.223404675236836,58.769230769230774,7.8,30.5,N,FWD,6.0,45.733
KNDJP3A50K7918207,KIA,SOUL,EXCELLENT PRICE,14995.0,MIDDLETOWN,PA,WHITE,BLACK,N,1,PERSONAL,Y,WAGON,14.0,34,3.9890632445645786,73.38461538461539,8.5,28.5,N,FWD,1.0,22.788
1N4BL4BV2KC209943,NISSAN,ALTIMA,GREAT PRICE,14957.0,MIAMI GARDENS,FL,SILVER,BLACK,N,1,PERSONAL,Y,SEDAN,16.0,27,6.28802759768661,76.23076923076924,7.7,33.5,N,FWD,1.0,29.865
5NPD74LF5HH136725,HYUNDAI,ELANTRA,EXCELLENT PRICE,8995.0,WHITE PLAINS,NY,WHITE,GRAY,Y,2,FLEET,Y,SEDAN,13.0,50,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,3.0,76.975
55SWF4JB2HU222230,MERCEDES-BENZ,CCLASS,EXCELLENT PRICE,19407.0,CARROLLTON,TX,BLACK,BLACK,Y,1,PERSONAL,N,SEDAN,22.0,14,2.208680273976825,57.92307692307693,7.9,28.5,Y,AWD,3.0,35.085
1FT8W3B67GEB30620,FORD,SUPER DUTY F350,NOT LISTED,15995.0,LAFAYETTE,LA,WHITE,UNKNOWN,Y,1,PERSONAL,N,VAN/MINIVAN,10.0,18,13.832688602095642,71.61538461538461,7.9,28.5,U,AWD,4.0,146.56620378416707
1N4AL3AP3FC448741,NISSAN,ALTIMA,EXCELLENT PRICE,8385.0,TAMPA,FL,WHITE,BLACK,N,2,PERSONAL,Y,SEDAN,16.0,27,6.28802759768661,76.23076923076924,7.7,33.5,N,FWD,5.0,74.179
5FNRL3H61AB110552,HONDA,ODYSSEY,NOT LISTED,7490.0,MABLETON,GA,WHITE,BEIGE,N,1,PERSONAL,N,VAN/MINIVAN,18.0,10,8.336902292535045,48.69230769230769,8.4,23.5,N,FWD,10.0,116.049
